UC,Source_Dest,PROJECTO,TYPE,TYPE_NORMALIZED,NAME,NAME_RESOLVED,IS_DYNAMIC,DYNAMIC_PATTERNS,HAS_WILDCARD,REGEX_PATTERN,STATUT,Oney,Comments
1,IN,,File,File,devol_rps.txt,devol_rps.txt,False,,False,,OK,,
1,IN,,File,File,SIBS*.txt(E002),SIBS*.txt(E002),False,,True,^SIBS.*\.txt\(E002\)$,OK,,SIBS_META-E002_REI-A1303055.txt
1,OUT,,Table,Table,devoluciones_dia,devoluciones_dia,False,,False,,OK,,DEVOLUCIONES_20260113
1,IN,,Table,Table,F_ACCOUNT_BALANCE_DETAIL,F_ACCOUNT_BALANCE_DETAIL,False,,False,,OK,,
1,IN,,Table,Table,F_ACCOUNT_BALANCE_DETAIL_current,F_ACCOUNT_BALANCE_DETAIL_current,False,,False,,OK,,
1,IN,,Table,Table,d_contract,d_contract,False,,False,,~,BPES_DESPG.BPES_DESPG_VIEW_CTRA.D_CONTRACT,
1,IN,,Table,Table,d_account,d_account,False,,False,,OK,,
1,IN,,Table,Table,d_customer,d_customer,False,,False,,OK,,
1,IN,,Table,Table,ext_termpayment_bnpl,ext_termpayment_bnpl,False,,False,,OK,,Point already in Snowflake
1,IN,,Table,Table,ext_proposal_bnpl,ext_proposal_bnpl,False,,False,,OK,,Point already in Snowflake : ESP_DATA
1,IN,,Table,Table,ext_termpaymentdetl_bnpl,ext_termpaymentdetl_bnpl,False,,False,,OK,,Point already in Snowflake : ext_proposal_bnpl
1,IN,,Table,Table,ext_customer_bnpl,ext_customer_bnpl,False,,False,,OK,,Point in ESD_DATAMKT
1,IN,,Fichier,File,Telefonos_Prestatarios_yyyymmdd.txt,Telefonos_Prestatarios_yyyymmdd.txt,False,,False,,NO,AZURE -- DATA_SUPPORT/ficinftp/SILAMIR/UC1/IN/telefonos_prestatarios_2020092.txt,
1,IN,ALTI 2,Table,Table,REC_PERSONAS,REC_PERSONAS,False,,False,,OK,,
1,IN,ALTI 2,Table,Table,orden_venci,orden_venci,False,,False,,~,SHARED_DB.ESD_ALTITUDE.orden_venci,ESP_RISK
1,IN,ALTI 2,Table,Table,histo_expe_Kineox,histo_expe_Kineox,False,,False,,~,from file DATA_SUPPORT/ficinftp/SILAMIR/UC1/IN/histo_expe_Kineox 20260112.txt,ESP_RISK
1,IN,ALTI 2,Table,Table,histo_experian,histo_experian,False,,False,,OK,,
1,IN,ALTI 2,Table,Table,tratamientos_v2,tratamientos_v2,False,,False,,~,SHARED_DB.ESD_ALTITUDE.tratamientos_v2,ESP_RISK
1,IN,ALTI 2,Table,Table,F_ACCOUNT_BALANCE_DETAIL,F_ACCOUNT_BALANCE_DETAIL,False,,False,,~,BPES_DESPG.BPES_DESPG_VIEW_CTRA.F_ACCOUNT_BALANCE_DETAIL,BPES_DESPG & BRES_ESPG & SHARED DB
1,IN,ALTI 2,Table,Table,F_ACCOUNT_BALANCE_DETAIL_current,F_ACCOUNT_BALANCE_DETAIL_current,False,,False,,~,BPES_DESPG.BPES_DESPG_VIEW_CTRA.F_ACCOUNT_BALANCE_DETAIL_CURRENT,BPES_DESPG & BRES_ESPG
1,IN,ALTI 2,Table,Table,d_contract,d_contract,False,,False,,BPES_VIEW / BRS DSPG,BPES_DESPG.BPES_DESPG_VIEW_CTRA.D_CONTRACT,
1,IN,ALTI 2,Table,Table,d_account,d_account,False,,False,,OK,,
1,IN,ALTI 2,Table,Table,d_customer,d_customer,False,,False,,OK,,
1,IN,ALTI 2,Table,Table,f_transactions,f_transactions,False,,False,,NO,BPES_DESPG.BPES_DESPG_VIEW_TRSN.F_TRANSACTIONS,
1,IN,ALTI 2,Table,Table,account_link,account_link,False,,False,,NO,"see equivalence with Manuel, doesn't have the same name in Snowflake",
1,IN,ALTI 2,Table,Table,xp_beneficiaire,xp_beneficiaire,False,,False,,NO,BPES_DESPG.BPES_DESPG_VIEW_CTRA.D_CONTRACT_LOYALTY_BENEFICIARY,
1,IN,ALTI 2,Table,Table,base_final_direcciones_new,base_final_direcciones_new,False,,False,,OK,,
1,OUT,ALTI 2,Table,Table,altitude_historico,altitude_historico,False,,False,,OK,,
1,OUT,ALTI 2,Table,Table,altitude_current,altitude_current,False,,False,,OK,,
1,OUT,ALTI 2,Table,Table,histo_eficacias,histo_eficacias,False,,False,,OK,,
1,OUT,ALTI 2,Table,Table,intervinientes,intervinientes,False,,False,,NO,SHARED_DB.ESD_ALTITUDE.INTERVINIENTES,
1,OUT,ALTI 2,Table,Table,histo_expe_Kineox,histo_expe_Kineox,False,,False,,NO,from file DATA_SUPPORT/ficinftp/SILAMIR/UC1/IN/histo_expe_Kineox 20260113.txt,
1,IN,ALTI 4,Table,Table,F_ACCOUNT_BALANCE_DETAIL,F_ACCOUNT_BALANCE_DETAIL,False,,False,,OK,,SAME
1,IN,ALTI 4,Table,Table,d_contract,d_contract,False,,False,,~,BPES_DESPG.BPES_DESPG_VIEW_CTRA.D_CONTRACT,
1,IN,ALTI 4,Table,Table,d_account,d_account,False,,False,,~,BPES_DESPG.BPES_DESPG_VIEW_CTRA.D_ACCOUNT,
1,IN,ALTI 4,Table,Table,D_CARD,D_CARD,False,,False,,~,BPES_DESPG.BPES_DESPG_VIEW_CTRA.D_CARD,
1,IN,ALTI 4,Table,Table,tratamientos_v2,tratamientos_v2,False,,False,,~,SHARED_DB.ESD_ALTITUDE.tratamientos_v2,ESP_RISK
1,IN,ALTI 4,Table,Table,Impago_exp_venta_*,Impago_exp_venta_*,False,,True,^Impago_exp_venta_.*$,~,SHARED_DB.ESD_ALTITUDE.IMPAGO_EXP_VENTA_202512,ESP_RISK
1,IN,ALTI 4,Fichier,File,quitas.txt,quitas.txt,False,,False,,~,AZURE -- DATA_SUPPORT/ficinftp/SILAMIR/UC1/IN/,INPUT
1,IN,ALTI 4,Fichier,File,quitas_curso.txt,quitas_curso.txt,False,,False,,~,AZURE -- DATA_SUPPORT/ficinftp/SILAMIR/UC1/IN/,SILAMIR/UC2/IN/quitas_curso_20180531.txt
1,IN,ALTI 4,Fichier,File,ALTI-Contratosficticios.txt,ALTI-Contratosficticios.txt,False,,False,,OK,,
1,OUT,ALTI 4,Table,Table,stock_dia1,stock_dia1,False,,False,,~,shared_db.esd_altitude.stock_dia1,CHECK ESP_RISK
