UC,Source_Dest,PROJECTO,TYPE,TYPE_NORMALIZED,NAME,NAME_RESOLVED,IS_DYNAMIC,DYNAMIC_PATTERNS,HAS_WILDCARD,REGEX_PATTERN,STATUT,Oney,Comments
1,OUT,ALTI 4,Table,Table,stock_recobro_&fec_mes.01,stock_recobro_20260101,True,&fec_mes.,False,,~,SHARED_DB.ESD_ALTITUDE.STOCK_RECOBRO_20260101,CHECK ESP_RISK
1,OUT,ALTI 4,Table,Table,stock_recobro_&fec_mes.,stock_recobro_202601,True,&fec_mes.,False,,~,SHARED_DB.ESD_ALTITUDE.STOCK_RECOBRO_202601,CHECK ESP_RISK
1,OUT,ALTI 4,Table,Table,stock_dia1,stock_dia1,False,,False,,~,shared_db.esd_altitude.stock_dia1,CHECK ESP_RISK
1,OUT,ALTI 4,Table,Table,recurrentes_&fec_mes.,recurrentes_202601,True,&fec_mes.,False,,~,SHARED_DB.ESD_ALTITUDE.RECURRENTES,CHECK ESP_RISK
1,OUT,ALTI 4,Fichier,File,Saltodetramo&fec_mes.01.csv,Saltodetramo20260101.csv,True,&fec_mes.,False,,OK,,Saut de tranche
1,OUT,ALTI 4,Fichier,File,quitas&fec_mes.01.txt,quitas20260101.txt,True,&fec_mes.,False,,OK,,Quitas du mois (backup)
1,OUT,ALTI 4,Fichier,File,PPtauxdeprov100%&fec_mesant..txt,PPtauxdeprov100%202512.txt,True,&fec_mesant.,False,,OK,,Taux provision 100%
1,OUT,ALTI 4,Fichier,File,STATUS_&hoy..&hhmmss.,STATUS_20260115.000000,True,&hoy.|&hhmmss.,False,,NO,AZURE -- DATA_SUPPORT/ficinftp/SILAMIR/UC1/IN/,Fichier changement etat CTX
1,OUT,ALTI 4,Fichier,File,CANCELAR_TJ_PWC_CTX_&hoy..&hhmmss..txt,CANCELAR_TJ_PWC_CTX_20260115.000000.txt,True,&hoy.|&hhmmss.,False,,NO,AZURE -- DATA_SUPPORT/ficinftp/SILAMIR/UC1/IN/,Annulation cartes PWC
1,OUT,ALTI 4,Fichier,File,DEP_CTX_&hoy..&hhmmss..csv,DEP_CTX_20260115.000000.csv,True,&hoy.|&hhmmss.,False,,NO,AZURE -- DATA_SUPPORT/ficinftp/SILAMIR/UC1/IN/,Baisse limite CTX
1,OUT,ALTI 4,Fichier,File,INSERTAR_MEMO_CTX_&hoy..&hhmmss..csv,INSERTAR_MEMO_CTX_20260115.000000.csv,True,&hoy.|&hhmmss.,False,,NO,AZURE -- DATA_SUPPORT/ficinftp/SILAMIR/UC1/IN/,Insertion memo CTX
